,Fitted PB,PB stddev,Corrected PB,PB_error (%),No. spectra used
Cu_Ka1,3773.619886737448,226.29879455307142,3896.8645114780916,5.996862464828756,5
Cu_Ka1+Cu_Ka2,5702.71568493204,341.98719437876804,5888.963657882934,5.996918192544322,5
Cu_La1,2845.6638321946384,216.14408807241256,3046.3710189622925,7.59555944827529,5
Cu_La1+Cu_La2,3119.7012592349824,236.9587637537859,3339.736548088362,7.5955594482752895,5
