Spectrum #,Al_Ka1,C_Ka1,O_Ka1,Quant_flag,Comments,r_squared,redchi_sq
0,8067.266347551259,107.21541156344016,24.274552555977742,0,,0.99963,88.9
1,6269.635602782638,532.0504202487158,506.48812539109707,0,,0.9992,95.6
2,7718.26444963921,385.51050118950525,216.3479298445167,0,,0.99957,97.2
3,7840.438272010836,284.8975284611399,50.26448924443993,0,,0.99973,64.1
4,8096.135477968872,153.01084994666246,35.87335907481836,0,,0.99964,84.3
