,Fitted PB,PB stddev,Corrected PB,PB_error (%),No. spectra used
Al_Ka1,7473.968329467008,1375.3954991965459,7736.435857645452,18.402479627507727,5
Al_Ka1+Al_Ka2,11262.621983200037,2072.5493040999386,11658.137781826592,18.402014266229216,5
