Spectrum #,Cu_Ka1,Cu_La1,C_Ka1,O_Ka1,Al_Ka1,Quant_flag,Comments,r_squared,redchi_sq
0,3762.691112837159,2773.3204346677494,131.33074712549111,71.41900464795278,41.291212489643264,0,,0.99912,67.9
1,3420.0616812478083,3037.7049431442183,992.6836469276177,260.03799545430917,46.98598937247311,0,,0.99905,51.6
2,3818.4525020961682,2801.194358141014,676.6423185069141,276.4761080543651,42.97038764602493,0,,0.99882,56.7
3,3814.405067698627,2913.8499909193765,275.1023323756239,102.9247547170348,53.534650664167906,0,,0.99917,55.9
4,3779.495832865366,2706.108730713962,162.0782402753668,80.1679956535886,39.92330277355796,0,,0.99932,49.9
