peak,at%,w%,Measured_PB,Stdev_PB,Corrected_PB,Rel_stdev_PB (%),n_spectra_used
Cu_Ka1,100.0,100.0,3719.0,150.9,3840.8,4.06,5
Cu_La1,100.0,100.0,2846.4,116.8,3049.4,4.1,5
